orgao;unidade;cpf;nome do servidor;departamento;tipo de cargo;tipo vinculado;data admissao;carga horaria mensal;remuneracao total;remuneracao do mes;valor liquido;valor provento;valor provento mes;mes pagamento;ano pagamento
Secretaria de Financas;Setor de Contabilidade;698.132.504-70;Kevin Peixoto;Ensino Fundamental;Comissionado;Cargo em Comissao;30/03/2015;180;R$ 8.846,96;R$ 8.846,96;R$ 8.262,94;R$ 9.657,70;R$ 9.842,01;10;2024
Secretaria da Educacao;Escola Municipal Aurora;436.587.029-74;Danilo Vieira;Enfermagem;Efetivo;Servidor Publico;31/01/2013;180;R$ 4.750,92;R$ 4.750,92;R$ 4.106,11;R$ 5.606,89;R$ 5.714,46;11;2024
Secretaria de TI;Nucleo de Desenvolvimento;749.635.210-16;Marcelo da Conceicao;Financeiro;Comissionado;Cargo em Comissao;07/07/2014;180;R$ 6.607,18;R$ 6.607,18;R$ 6.120,66;R$ 7.548,61;R$ 6.961,30;11;2024
Secretaria de Financas;Setor de Contabilidade;421.873.659-64;Ana Beatriz Vieira;Ensino Medio;Comissionado;Cargo em Comissao;07/05/2021;180;R$ 5.168,64;R$ 5.168,64;R$ 4.764,47;R$ 5.390,60;R$ 5.987,08;11;2024
Secretaria da Educacao;Escola Municipal Aurora;068.142.375-71;Benicio da Mota;Recursos Humanos;Comissionado;Cargo em Comissao;26/03/2021;120;R$ 7.309,20;R$ 7.309,20;R$ 6.695,95;R$ 8.114,60;R$ 8.092,70;11;2024
Secretaria de TI;Nucleo de Desenvolvimento;607.359.412-70;Laura Pinto;Recursos Humanos;Efetivo;Servidor Publico;31/08/2010;120;R$ 6.667,31;R$ 6.667,31;R$ 6.393,81;R$ 7.370,61;R$ 7.355,98;11;2024
Secretaria de Financas;Setor de Contabilidade;678.540.391-00;Leandro Moura;Recursos Humanos;Temporario;Contrato Temporario;24/09/2013;120;R$ 3.488,80;R$ 3.488,80;R$ 2.925,57;R$ 4.250,02;R$ 4.457,46;12;2024
Secretaria de TI;Nucleo de Desenvolvimento;473.198.205-79;Heloisa da Luz;Enfermagem;Temporario;Contrato Temporario;28/04/2015;160;R$ 6.177,87;R$ 6.177,87;R$ 5.464,42;R$ 6.641,93;R$ 6.925,35;12;2024
Secretaria da Educacao;Escola Municipal Aurora;481.972.350-23;Maria Julia Barros;Ensino Fundamental;Temporario;Contrato Temporario;08/01/2019;160;R$ 4.518,45;R$ 4.518,45;R$ 3.998,78;R$ 5.112,73;R$ 5.151,24;12;2024
Secretaria da Saude;Posto Central;027.389.146-40;Isaac Melo;Ensino Medio;Efetivo;Servidor Publico;15/03/2019;180;R$ 7.565,07;R$ 7.565,07;R$ 6.624,82;R$ 8.436,12;R$ 8.417,06;12;2024
Secretaria de Financas;Setor de Contabilidade;597.341.260-16;Pietra Monteiro;Recursos Humanos;Temporario;Contrato Temporario;08/06/2011;180;R$ 8.053,98;R$ 8.053,98;R$ 7.497,29;R$ 8.739,07;R$ 8.772,65;12;2024
